,Symbol,Name,Sector,Industry,Type
1206,EBAY,eBay Inc. Common Stock,Consumer Discretionary,Catalog/Specialty Distribution,EQUITY
1207,EBC,Eastern Bankshares Inc. Common Stock,Finance,Major Banks,EQUITY
1208,EBET,EBET INC. Common Stock,Consumer Discretionary,Services-Misc. Amusement & Recreation,EQUITY
1209,EBF,Ennis Inc. Common Stock,Consumer Discretionary,Office Equipment/Supplies/Services,EQUITY
1210,EBMT,Eagle Bancorp Montana Inc. Common Stock,Finance,Savings Institutions,EQUITY
1211,EBS,Emergent Biosolutions Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,EQUITY
1212,EBTC,Enterprise Bancorp Inc Common Stock,Finance,Major Banks,EQUITY
1213,ECBK,ECB Bancorp Inc. Common Stock,Finance,Banks,EQUITY
1214,ECC           ,Eagle Point Credit Company Inc. Common Stock,Finance,Trusts Except Educational Religious and Charitable,EQUITY
1215,ECCC,Eagle Point Credit Company Inc. 6.50% Series C Term Preferred Stock due 2031,Finance,Trusts Except Educational Religious and Charitable,EQUITY
1216,ECCV,Eagle Point Credit Company Inc. 5.375% Notes due 2029,Finance,Trusts Except Educational Religious and Charitable,EQUITY
1217,ECCW,Eagle Point Credit Company Inc. 6.75% Notes due 2031,Finance,Trusts Except Educational Religious and Charitable,EQUITY
1218,ECCX,Eagle Point Credit Company Inc. 6.6875% Notes due 2028,Finance,Trusts Except Educational Religious and Charitable,EQUITY
1219,ECF,Ellsworth Growth and Income Fund Ltd.,Finance,Finance/Investors Services,EQUITY
1220,ECL,Ecolab Inc. Common Stock,Consumer Discretionary,Package Goods/Cosmetics,EQUITY
1221,ECOR,electroCore Inc. Common Stock,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,EQUITY
1222,ECVT,Ecovyst Inc. Common Stock,Industrials,Major Chemicals,EQUITY
1223,ED,Consolidated Edison Inc. Common Stock,Utilities,Power Generation,EQUITY
1224,EDBL,Edible Garden AG Incorporated Common Stock,Industrials,Agricultural Chemicals,EQUITY
1225,EDD,Morgan Stanley Emerging Markets Domestic Debt Fund Inc. Morgan Stanley Emerging Markets Domestic Debt Fund Inc. Common Stock,Finance,Finance Companies,EQUITY
1226,EDF,Virtus Stone Harbor Emerging Markets Income Fund Common Shares of Beneficial Interest,Finance,Investment Managers,EQUITY
1227,EDIT,Editas Medicine Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,EQUITY
1228,EDN,Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor) Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor) American Depositary Shares,Utilities,Electric Utilities: Central,EQUITY
1229,EDSA,Edesa Biotech Inc. Common Shares,Health Care,Pharmaceuticals and Biotechnology,EQUITY
1230,EDUC,Educational Development Corporation Common Stock,Consumer Discretionary,Books,EQUITY
1231,EEA,The European Equity Fund Inc. Common Stock,Finance,Trusts Except Educational Religious and Charitable,EQUITY
1232,EEFT,Euronet Worldwide Inc. Common Stock,Technology,EDP Services,EQUITY
1233,EEIQ,EpicQuest Education Group International Limited Common Stock,Real Estate,Other Consumer Services,EQUITY
1234,EEX,Emerald Holding Inc. Common Stock,Consumer Discretionary,Advertising,EQUITY
1235,EFC,Ellington Financial Inc. Common Stock ,Real Estate,Real Estate Investment Trusts,EQUITY
1236,EFOI,Energy Focus Inc. Common Stock,Consumer Discretionary,Building Products,EQUITY
1237,EFR,Eaton Vance Senior Floating-Rate Fund Common Shares of Beneficial Interest,Finance,Trusts Except Educational Religious and Charitable,EQUITY
1238,EFSC,Enterprise Financial Services Corporation Common Stock,Finance,Major Banks,EQUITY
1239,EFSCP,Enterprise Financial Services Corporation Depositary Shares Each Representing a 1/40th Interest in a Share of 5% Fixed Rate Non-Cumulative Perpetual Preferred Stock Series A,Finance,Major Banks,EQUITY
1240,EFT,Eaton Vance Floating Rate Income Trust Common Shares of Beneficial Interest,Finance,Finance Companies,EQUITY
