Date,Price
2022/5/24 00:00,11264.45
2022/5/23 00:00,11535.28
2022/5/20 00:00,11354.62
2022/5/19 00:00,11388.5
2022/5/18 00:00,11418.15
2022/5/17 00:00,11984.52
2022/5/16 00:00,11662.79
2022/5/13 00:00,11805
2022/5/12 00:00,11370.96
2022/5/11 00:00,11364.24
2022/5/10 00:00,11737.67
2022/5/9 00:00,11623.25
2022/5/6 00:00,12144.66
2022/5/5 00:00,12317.69
2022/5/4 00:00,12964.86
2022/5/3 00:00,12563.76
2022/5/2 00:00,12536.02
2022/4/29 00:00,12334.64
2022/4/28 00:00,12871.53
2022/4/27 00:00,12488.93
2022/4/26 00:00,12490.74
2022/4/25 00:00,13004.85
2022/4/22 00:00,12839.29
2022/4/21 00:00,13174.65
2022/4/20 00:00,13453.07
2022/4/19 00:00,13619.66
2022/4/18 00:00,13332.36
2022/4/14 00:00,13351.08
2022/4/13 00:00,13643.59
2022/4/12 00:00,13371.57
2022/4/11 00:00,13411.96
2022/4/8 00:00,13711
2022/4/7 00:00,13897.3
2022/4/6 00:00,13888.82
2022/4/5 00:00,14204.17
2022/4/4 00:00,14532.55
2022/4/1 00:00,14261.5
2022/3/31 00:00,14220.52
2022/3/30 00:00,14442.28
2022/3/29 00:00,14619.64
2022/3/28 00:00,14354.9
2022/3/25 00:00,14169.3
2022/3/24 00:00,14191.84
2022/3/23 00:00,13922.6
2022/3/22 00:00,14108.82
2022/3/21 00:00,13838.46
2022/3/18 00:00,13893.84
2022/3/17 00:00,13614.78
2022/3/16 00:00,13436.55
2022/3/15 00:00,12948.62
2022/3/14 00:00,12581.22
2022/3/11 00:00,12843.81
2022/3/10 00:00,13129.96
2022/3/9 00:00,13255.55
2022/3/8 00:00,12795.55
2022/3/7 00:00,12830.96
2022/3/4 00:00,13313.44
2022/3/3 00:00,13537.94
2022/3/2 00:00,13752.02
2022/3/1 00:00,13532.46
2022/2/28 00:00,13751.4
2022/2/25 00:00,13694.62
2022/2/24 00:00,13473.58
2022/2/23 00:00,13037.49
2022/2/22 00:00,13381.52
2022/2/18 00:00,13548.07
2022/2/17 00:00,13716.72
2022/2/16 00:00,14124.09
2022/2/15 00:00,14139.76
2022/2/14 00:00,13790.92
2022/2/11 00:00,13791.15
2022/2/10 00:00,14185.64
2022/2/9 00:00,14490.37
2022/2/8 00:00,14194.46
2022/2/7 00:00,14015.67
2022/2/4 00:00,14098.01
2022/2/3 00:00,13878.82
2022/2/2 00:00,14417.55
2022/2/1 00:00,14346
2022/1/31 00:00,14239.88
2022/1/28 00:00,13770.57
2022/1/27 00:00,13352.78
2022/1/26 00:00,13542.12
2022/1/25 00:00,13539.3
2022/1/24 00:00,13855.13
2022/1/21 00:00,13768.92
2022/1/20 00:00,14154.02
2022/1/19 00:00,14340.25
2022/1/18 00:00,14506.9
2022/1/14 00:00,14893.75
2022/1/13 00:00,14806.81
2022/1/12 00:00,15188.39
2022/1/11 00:00,15153.45
2022/1/10 00:00,14942.83
2022/1/7 00:00,14935.9
2022/1/6 00:00,15080.86
2022/1/5 00:00,15100.17
2022/1/4 00:00,15622.72
2022/1/3 00:00,15832.8
2021/12/31 00:00,15644.97
2021/12/30 00:00,15741.56
2021/12/29 00:00,15766.22
2021/12/28 00:00,15781.72
2021/12/27 00:00,15871.26
2021/12/23 00:00,15653.37
2021/12/22 00:00,15521.89
2021/12/21 00:00,15341.09
2021/12/20 00:00,14980.94
2021/12/17 00:00,15169.68
2021/12/16 00:00,15180.43
2021/12/15 00:00,15565.58
2021/12/14 00:00,15237.64
2021/12/13 00:00,15413.28
2021/12/10 00:00,15630.6
2021/12/9 00:00,15517.37
2021/12/8 00:00,15786.99
2021/12/7 00:00,15686.92
2021/12/6 00:00,15225.15
2021/12/3 00:00,15085.47
2021/12/2 00:00,15381.32
2021/12/1 00:00,15254.05
2021/11/30 00:00,15537.69
2021/11/29 00:00,15782.83
2021/11/26 00:00,15491.66
2021/11/24 00:00,15845.23
2021/11/23 00:00,15775.14
2021/11/22 00:00,15854.76
2021/11/19 00:00,16057.44
2021/11/18 00:00,15993.71
2021/11/17 00:00,15921.57
2021/11/16 00:00,15973.85
2021/11/15 00:00,15853.85
2021/11/12 00:00,15860.96
2021/11/11 00:00,15704.28
2021/11/10 00:00,15622.7
2021/11/9 00:00,15886.54
2021/11/8 00:00,15982.36
2021/11/5 00:00,15971.59
2021/11/4 00:00,15940.31
2021/11/3 00:00,15811.58
2021/11/2 00:00,15649.6
2021/11/1 00:00,15595.92
2021/10/29 00:00,15498.39
2021/10/28 00:00,15448.12
2021/10/27 00:00,15235.84
2021/10/26 00:00,15235.72
2021/10/25 00:00,15226.71
2021/10/22 00:00,15090.2
2021/10/21 00:00,15215.7
2021/10/20 00:00,15121.68
2021/10/19 00:00,15129.09
2021/10/18 00:00,15021.81
2021/10/15 00:00,14897.34
2021/10/14 00:00,14823.43
2021/10/13 00:00,14571.64
2021/10/12 00:00,14465.92
2021/10/11 00:00,14486.2
2021/10/8 00:00,14579.54
2021/10/7 00:00,14654.02
2021/10/6 00:00,14501.91
2021/10/5 00:00,14433.83
2021/10/4 00:00,14255.49
2021/10/1 00:00,14566.7
2021/9/30 00:00,14448.58
2021/9/29 00:00,14512.44
2021/9/28 00:00,14546.68
2021/9/27 00:00,14969.97
2021/9/24 00:00,15047.7
2021/9/23 00:00,15052.24
2021/9/22 00:00,14896.85
2021/9/21 00:00,14746.4
2021/9/20 00:00,14713.9
2021/9/17 00:00,15043.97
2021/9/16 00:00,15181.92
2021/9/15 00:00,15161.53
2021/9/14 00:00,15037.76
2021/9/13 00:00,15105.58
2021/9/10 00:00,15115.49
2021/9/9 00:00,15248.25
2021/9/8 00:00,15286.64
2021/9/7 00:00,15374.33
2021/9/3 00:00,15363.52
2021/9/2 00:00,15331.18
2021/9/1 00:00,15309.38
2021/8/31 00:00,15259.24
2021/8/30 00:00,15265.89
2021/8/27 00:00,15129.5
2021/8/26 00:00,14945.81
2021/8/25 00:00,15041.86
2021/8/24 00:00,15019.8
2021/8/23 00:00,14942.65
2021/8/20 00:00,14714.66
2021/8/19 00:00,14541.79
2021/8/18 00:00,14525.91
2021/8/17 00:00,14656.18
2021/8/16 00:00,14793.76
2021/8/13 00:00,14822.9
2021/8/12 00:00,14816.26
2021/8/11 00:00,14765.14
2021/8/10 00:00,14788.09
2021/8/9 00:00,14860.18
2021/8/6 00:00,14835.76
2021/8/5 00:00,14895.12
2021/8/4 00:00,14780.53
2021/8/3 00:00,14761.3
