Date,Price,Open,High,Low,Vol.,Change %
2022/6/16 00:00,2462,2462,2462,2462,,0.0314
2022/6/15 00:00,2387,2387,2387,2387,,0.0451
2022/6/14 00:00,2284,2284,2284,2284,,0.0106
2022/6/13 00:00,2260,2260,2260,2260,,-0.0259
2022/6/10 00:00,2320,2320,2320,2320,,-0.0094
2022/6/9 00:00,2342,2342,2342,2342,,-0.0282
2022/6/8 00:00,2410,2410,2410,2410,,-0.0414
2022/6/7 00:00,2514,2514,2514,2514,,-0.018
2022/6/6 00:00,2560,2560,2560,2560,,-0.0277
2022/6/1 00:00,2633,2633,2633,2633,,0.0261
2022/5/31 00:00,2566,2566,2566,2566,,-0.0019
2022/5/30 00:00,2571,2571,2571,2571,,-0.041
2022/5/27 00:00,2681,2681,2681,2681,,-0.0859
2022/5/26 00:00,2933,2933,2933,2933,,-0.062
2022/5/25 00:00,3127,3127,3127,3127,,-0.0387
2022/5/24 00:00,3253,3253,3253,3253,,-0.0344
2022/5/23 00:00,3369,3369,3369,3369,,0.0075
2022/5/20 00:00,3344,3344,3344,3344,,0.0167
2022/5/19 00:00,3289,3289,3289,3289,,0.0314
2022/5/18 00:00,3189,3189,3189,3189,,0.0304
2022/5/17 00:00,3095,3095,3095,3095,,0.0032
2022/5/16 00:00,3085,3085,3085,3085,,-0.0061
2022/5/13 00:00,3104,3104,3104,3104,,-0.0042
2022/5/12 00:00,3117,3117,3117,3117,,0.0213
2022/5/11 00:00,3052,3052,3052,3052,,0.0384
2022/5/10 00:00,2939,2939,2939,2939,,0.0381
2022/5/9 00:00,2831,2831,2831,2831,,0.0416
2022/5/6 00:00,2718,2718,2718,2718,,0.028
2022/5/5 00:00,2644,2644,2644,2644,,0.064
2022/5/4 00:00,2485,2485,2485,2485,,0.0303
2022/5/3 00:00,2412,2412,2412,2412,,0.0033
2022/4/29 00:00,2404,2404,2404,2404,,0.0004
2022/4/28 00:00,2403,2403,2403,2403,,-0.0091
2022/4/27 00:00,2425,2425,2425,2425,,0.0087
2022/4/26 00:00,2404,2404,2404,2404,,0.0204
2022/4/25 00:00,2356,2356,2356,2356,,0.0212
2022/4/22 00:00,2307,2307,2307,2307,,0.0304
2022/4/21 00:00,2239,2239,2239,2239,,0.0453
2022/4/20 00:00,2142,2142,2142,2142,,0.0128
2022/4/19 00:00,2115,2115,2115,2115,,-0.0103
2022/4/14 00:00,2137,2137,2137,2137,,0.0334
2022/4/13 00:00,2068,2068,2068,2068,,0.0162
2022/4/12 00:00,2035,2035,2035,2035,,0.002
2022/4/11 00:00,2031,2031,2031,2031,,-0.0117
2022/4/8 00:00,2055,2055,2055,2055,,-0.0029
2022/4/7 00:00,2061,2061,2061,2061,,-0.0315
2022/4/6 00:00,2128,2128,2128,2128,,-0.0384
2022/4/5 00:00,2213,2213,2213,2213,,-0.0407
2022/4/4 00:00,2307,2307,2307,2307,,-0.0212
2022/4/1 00:00,2357,2357,2357,2357,,-0.0004
2022/3/31 00:00,2358,2358,2358,2358,,-0.0046
2022/3/30 00:00,2369,2369,2369,2369,,-0.0199
2022/3/29 00:00,2417,2417,2417,2417,,-0.027
2022/3/28 00:00,2484,2484,2484,2484,,-0.0236
2022/3/25 00:00,2544,2544,2544,2544,,-0.009
2022/3/24 00:00,2567,2567,2567,2567,,-0.0031
2022/3/23 00:00,2575,2575,2575,2575,,0.0114
2022/3/22 00:00,2546,2546,2546,2546,,-0.0166
2022/3/21 00:00,2589,2589,2589,2589,,-0.0061
2022/3/18 00:00,2605,2605,2605,2605,,0.0066
2022/3/17 00:00,2588,2588,2588,2588,,-0.0012
2022/3/16 00:00,2591,2591,2591,2591,,-0.0364
2022/3/15 00:00,2689,2689,2689,2689,,-0.0139
2022/3/14 00:00,2727,2727,2727,2727,,0.0033
2022/3/11 00:00,2718,2718,2718,2718,,0.0052
2022/3/10 00:00,2704,2704,2704,2704,,0.0571
2022/3/9 00:00,2558,2558,2558,2558,,0.0876
2022/3/8 00:00,2352,2352,2352,2352,,0.0523
2022/3/7 00:00,2235,2235,2235,2235,,0.0405
2022/3/4 00:00,2148,2148,2148,2148,,0.0209
2022/3/3 00:00,2104,2104,2104,2104,,-0.0154
